source,target,type
test:tests/test\_strategy\_templates.py,roadmap:011,validates
doc:docs/beginner-expert-mode.md,roadmap:011,documents
doc:docs/copilot-safety-contract.md,roadmap:011,documents
doc:docs/dashboard-copilot.md,roadmap:011,documents
doc:docs/dashboard-plugin-architecture.md,roadmap:011,documents
doc:docs/dataset-builder-ui.md,roadmap:011,documents
doc:docs/guided-research-workflow.md,roadmap:011,documents
doc:docs/model-training-wizard.md,roadmap:011,documents
doc:docs/report-assistant.md,roadmap:011,documents
doc:docs/reports,roadmap:011,documents
doc:docs/scanner-wizard.md,roadmap:011,documents
doc:docs/strategy-templates.md,roadmap:011,documents
roadmap:001,roadmap:012,follows_on
roadmap:002,roadmap:012,follows_on
roadmap:003,roadmap:012,follows_on
roadmap:004,roadmap:012,follows_on
roadmap:005,roadmap:012,follows_on
roadmap:012,roadmap:012,follows_on
roadmap:012,module:src/binance\_spot\_bot/cache\_manager.py,implements
roadmap:012,module:src/binance\_spot\_bot/dashboard\_profiler.py,implements
roadmap:012,module:src/binance\_spot\_bot/data\_archive.py,implements
roadmap:012,module:src/binance\_spot\_bot/experiment\_bundle.py,implements
roadmap:012,module:src/binance\_spot\_bot/experiment\_db.py,implements
roadmap:012,module:src/binance\_spot\_bot/html\_reports.py,implements
roadmap:012,module:src/binance\_spot\_bot/lineage.py,implements
roadmap:012,module:src/binance\_spot\_bot/local\_llm.py,implements
roadmap:012,module:src/binance\_spot\_bot/notebook\_export.py,implements
roadmap:012,module:src/binance\_spot\_bot/scanner\_history.py,implements
roadmap:012,module:src/binance\_spot\_bot/ui/performance.py,implements
roadmap:012,module:src/binance\_spot\_bot/ui/research\_workspace.py,implements
roadmap:012,module:src/binance\_spot\_bot/ui/scanner\_dashboard.py,implements
test:tests/test\_advanced\_scanner\_ux.py,roadmap:012,validates
test:tests/test\_cache\_manager.py,roadmap:012,validates
test:tests/test\_dashboard\_profiler.py,roadmap:012,validates
test:tests/test\_data\_archive.py,roadmap:012,validates
test:tests/test\_experiment\_bundle.py,roadmap:012,validates
test:tests/test\_experiment\_db.py,roadmap:012,validates
test:tests/test\_html\_reports.py,roadmap:012,validates
test:tests/test\_lineage.py,roadmap:012,validates
test:tests/test\_local\_llm.py,roadmap:012,validates
test:tests/test\_notebook\_export.py,roadmap:012,validates
test:tests/test\_scanner\_history.py,roadmap:012,validates
doc:docs/advanced-scanner-ux.md,roadmap:012,documents
doc:docs/cache-manager.md,roadmap:012,documents
doc:docs/dashboard-performance.md,roadmap:012,documents
doc:docs/data-archive-cleanup.md,roadmap:012,documents
doc:docs/experiment-bundles.md,roadmap:012,documents
doc:docs/experiment-database.md,roadmap:012,documents
doc:docs/experiment-lineage.md,roadmap:012,documents
doc:docs/html-reports.md,roadmap:012,documents
doc:docs/local-llm-integration.md,roadmap:012,documents
doc:docs/notebook-exports.md,roadmap:012,documents
doc:docs/research-workspace-safety-contract.md,roadmap:012,documents
roadmap:001,roadmap:013,follows_on
roadmap:002,roadmap:013,follows_on
roadmap:003,roadmap:013,follows_on
roadmap:004,roadmap:013,follows_on
roadmap:005,roadmap:013,follows_on
roadmap:013,roadmap:013,follows_on
roadmap:013,module:src/binance\_spot\_bot/checks.py,implements
roadmap:013,module:src/binance\_spot\_bot/ci\_report.py,implements
roadmap:013,module:src/binance\_spot\_bot/plugin\_sandbox.py,implements
roadmap:013,module:src/binance\_spot\_bot/release\_build.py,implements
roadmap:013,module:src/binance\_spot\_bot/release\_verify.py,implements
roadmap:013,module:src/binance\_spot\_bot/roadmap\_check.py,implements
roadmap:013,module:src/binance\_spot\_bot/security\_audit.py,implements
test:tests/contract/test\_binance\_exchange\_info.py,roadmap:013,validates
test:tests/contract/test\_binance\_rate\_limits.py,roadmap:013,validates
test:tests/safety/,roadmap:013,validates
test:tests/safety/test\_no\_live\_cli.py,roadmap:013,validates
test:tests/safety/test\_no\_live\_ui.py,roadmap:013,validates
test:tests/safety/test\_no\_signed\_demo.py,roadmap:013,validates
test:tests/test\_plugin\_sandbox.py,roadmap:013,validates
